"Question","Result"
"A1(a)","Transient classes {2},{3,4,5}; recurrent class {1}; absorbing state 1; reflecting state 1; periods d(1)=1, d(2)=undefined, d(3)=d(4)=d(5)=3"
"A1(b)","Three simulated trajectories eventually end in state 1"
"A1(c)","Steady-state distribution (1,0,0,0,0); not ergodic"
"A1(d)","Unconditional probabilities converge to (1,0,0,0,0)"
"A2(a)","Markov chain diagram plotted and saved"
"A2(b)","Recurrent class {1,2}; transient class {3,4,5,6,7}; no absorbing states; reflecting states 5,6,7; periods identified"
"A2(c)","Two simulated trajectories show eventual entry into {1,2}"
"A2(d)","Stationary distribution (1/2,1/2,0,0,0,0,0); not ergodic"
"A3(a)","Using the lecturer correction, distribution at 6 PM = (0.014801, 0.132596, 0.852603)"
"A3(b)","10,000 simulated trajectories verify A3(a)"
